heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,is_timeout
pop_0_op_e1_n0_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n0_250815_114538.json,e1,"The heuristic calculates the score based on the maximum distance any load must travel to reach its correct stack, considering both horizontal and vertical movements, with an additional penalty for loads that are not in their target stack's sorted order.
","def score_state(state):
    max_distance = 0
    n_stacks = len(state)
    
    for i, stack in enumerate(state):
        for j, load in enumerate(stack):
            if load != 0:
                correct_stack_index = load - 1
                target_position = sum(1 for s in state[correct_stack_index] if s > 0) - 1
                horizontal_distance = abs(i - correct_stack_index)
                vertical_distance = j - target_position if i == correct_stack_index else len(stack) - 1 + target_position
                total_distance = horizontal_distance + vertical_distance
                
                if stack != sorted(stack)[::-1]:
                    total_distance += 0.5
                
                max_distance = max(max_distance, total_distance)
    
    return  max_distance
",10.69957,Premarshalling,False
pop_0_op_e1_n10_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n10_250815_114538.json,e1,"The heuristic calculates the score based on the maximum number of consecutive misplaced items in any stack, aiming to prioritize states where the largest sequences of errors are resolved first.
","def score_state(state):
    max_misplaced_sequence = 0
    for stack in state:
        non_zero_stack = [item for item in stack if item != 0]
        n = len(non_zero_stack)
        current_misplaced_count = 0
        for i in range(n - 1):
            if non_zero_stack[i] > non_zero_stack[i + 1]:
                current_misplaced_count += 1
            else:
                max_misplaced_sequence = max(max_misplaced_sequence, current_misplaced_count)
                current_misplaced_count = 0
        max_misplaced_sequence = max(max_misplaced_sequence, current_misplaced_count)
    return  max_misplaced_sequence
",8.79957,Premarshalling,False
pop_0_op_e1_n11_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n11_250815_114538.json,e1,"Heuristic calculates the score based on the weighted sum of penalties for each stack, where penalty is determined by the count of items out of order multiplied by their position depth from the top, adjusted by the maximum stack height to prioritize resolving issues in deeper stacks.
","def score_state(state):
    score = 0
    max_stack_height = max(len(stack) for stack in state)
    
    for stack in state:
        n = len(stack)
        for i in range(n - 1):
            for j in range(i + 1, n):
                if stack[i] > stack[j]:
                    score += (n - i) * (max_stack_height / n)
    
    return  score
",0.70443,Premarshalling,False
pop_0_op_e1_n12_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n12_250815_114538.json,e1,"The heuristic calculates the score based on the cumulative penalty for each load being out of order, with penalties increasing exponentially as the distance from the correct position increases.
","def score_state(state):
    score = 0
    n_lanes = len(state)
    n_slots = len(state[0]) if state else 0

    for i in range(n_lanes):
        lane = state[i]
        for j in range(n_slots - 1):
            if lane[j] > lane[j + 1]:
                distance = n_slots - j - 1
                score += (2 ** distance) * (lane[j] - lane[j + 1])
    
    return  score
",0.68748,Premarshalling,False
pop_0_op_e1_n13_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n13_250815_114538.json,e1,"The heuristic calculates the score based on the sum of absolute differences between each load and its target position in a sorted stack, prioritizing loads that are further from their correct place.
","def score_state(state):
    score = 0
    for stack in state:
        non_zero_stack = [item for item in stack if item != 0]
        n = len(non_zero_stack)
        sorted_stack = sorted(non_zero_stack)
        for i in range(n):
            score += abs(non_zero_stack[i] - sorted_stack[i])
    return  score
",0.43879,Premarshalling,False
pop_0_op_e1_n14_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n14_250815_114538.json,e1,"The heuristic calculates the score based on the cumulative Manhattan distance of each misplaced item to its target position, aiming to minimize total movement distance for optimal warehouse state configuration.
","def score_state(state):
    score = 0
    n_lanes = len(state)
    n_slots = len(state[0]) if state else 0

    for i in range(n_lanes):
        lane = state[i]
        sorted_lane = sorted(lane, key=lambda x: (x == 0, x))
        for j in range(n_slots):
            if lane[j] != sorted_lane[j]:
                target_index = sorted_lane.index(lane[j])
                score += abs(j - target_index)
    
    return  score
",7.53528,Premarshalling,False
pop_0_op_e1_n15_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n15_250815_114538.json,e1,"This heuristic calculates the score based on the maximum distance any load is from its target position, ensuring that states with loads further from their correct positions are penalized more heavily.
","def score_state(state):
    max_distance = 0
    for stack in state:
        n = len(stack)
        sorted_stack = sorted(stack)
        for i in range(n):
            if stack[i] != 0:
                target_index = sorted_stack.index(stack[i])
                distance = abs(i - target_index)
                if distance > max_distance:
                    max_distance = distance
    return  max_distance
",8.79957,Premarshalling,False
pop_0_op_e1_n16_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n16_250815_114538.json,e1,"The heuristic calculates the score based on the maximum distance any load is from its correct position, ensuring that states with loads farthest from their goal are prioritized for resolution first.
","def score_state(state):
    score = 0
    for stack in state:
        for i in range(len(stack)):
            if stack[i] != 0:
                target_position = len(stack) - stack.count(0) - list(reversed(stack)).index(stack[i]) - 1
                score = max(score, abs(i - target_position))
    return  score
",10.69957,Premarshalling,False
pop_0_op_e1_n17_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n17_250815_114538.json,e1,"The heuristic calculates the score based on the maximum distance any load needs to travel to reach its correct position, ensuring that states where items are closer to their final destination are prioritized.
","def score_state(state):
    max_distance = 0
    n_lanes = len(state)
    n_slots = len(state[0]) if state else 0

    for i in range(n_lanes):
        lane = state[i]
        sorted_lane = sorted(lane)
        for j in range(n_slots):
            if lane[j] != 0:
                target_index = sorted_lane.index(lane[j])
                max_distance = max(max_distance, abs(j - target_index))
    
    return  max_distance
",8.79957,Premarshalling,False
pop_0_op_e1_n18_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n18_250815_114538.json,e1,"The heuristic calculates the score based on the sum of the absolute differences between each element and its target position, scaled by the lane index to prioritize correcting issues in earlier lanes first.}
","def score_state(state):
    n_lanes = len(state)
    n_slots = max(len(lane) for lane in state) if state else 0
    target_positions = {item: (i, j) for i, lane in enumerate(state) for j, item in enumerate(sorted(lane, reverse=True))}
    
    score = 0
    for i in range(n_lanes):
        for j in range(len(state[i])):
            item = state[i][j]
            if item > 0:
                target_i, target_j = target_positions[item]
                score += abs(i - target_i) + abs(j - target_j) * (i + 1)
    
    return  score
",13.9329,Premarshalling,False
pop_0_op_e1_n1_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n1_250815_114538.json,e1,"The heuristic calculates the score based on the sum of penalties for each load being out of its correct stack, where the penalty is determined by the product of the number of loads above it and the distance to its target stack.
","def score_state(state):
    score = 0
    n_stacks = len(state)
    for i in range(n_stacks):
        stack = state[i]
        for j in range(len(stack)):
            if stack[j] != 0:
                correct_stack_index = stack[j] - 1
                penalty_distance = abs(i - correct_stack_index)
                loads_above = sum(1 for k in range(j) if stack[k] != 0)
                score += penalty_distance * (loads_above + 1)
    return  score
",3.01617,Premarshalling,False
pop_0_op_e1_n2_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n2_250815_114538.json,e1,"The heuristic calculates the score based on the sum of distances from each load to its correct lane, weighted by the height of the load's position in the stack, aiming to penalize higher misplaced items more heavily.
","def score_state(state):
    score = 0
    n_stacks = len(state)
    for i in range(n_stacks):
        stack = state[i]
        for j in range(len(stack)):
            if stack[j] != 0:
                correct_stack_index = stack[j] - 1
                target_position = sum(1 for s in state[correct_stack_index] if s > 0)
                score += (abs(i - correct_stack_index) + (target_position - j - 1)) * (len(stack) - j)
    return  score
",7.28084,Premarshalling,False
pop_0_op_e1_n3_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n3_250815_114538.json,e1,"The heuristic calculates the score based on the cumulative distance each load is from its target stack, penalizing deeper stacks more heavily to prioritize resolving disorganization at greater depths.
","def score_state(state):
    score = 0
    max_height = max(len(stack) for stack in state)
    n_stacks = len(state)
    for i in range(n_stacks):
        stack = state[i]
        for j in range(len(stack)):
            if stack[j] != 0:
                correct_stack_index = stack[j] - 1
                target_position = sum(1 for s in state[correct_stack_index] if s > 0)
                score += abs(i - correct_stack_index) * (max_height - j)
    return  score
",3.07806,Premarshalling,False
pop_0_op_e1_n4_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n4_250815_114538.json,e1,"The heuristic calculates the score based on the maximum distance any load needs to move to reach its correct position, considering the stack's length and the number of items already sorted in place.
","def score_state(state):
    max_score = 0
    for stack in state:
        n = len(stack)
        non_zero_stack = [item for item in stack if item != 0]
        m = len(non_zero_stack)
        for i in range(m - 1):
            if non_zero_stack[i] > non_zero_stack[i + 1]:
                max_score = max(max_score, (n - i - 1) * (m - i - 1))
    return  max_score
",7.5729,Premarshalling,False
pop_0_op_e1_n5_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n5_250815_114538.json,e1,"New heuristic calculates the score based on the sum of absolute differences between each element and its target position, adjusted by the number of non-zero loads, to guide the A* search towards states with items closer to their correct positions.
","def score_state(state):
    score = 0
    n_lanes = len(state)
    n_slots = len(state[0]) if state else 0
    total_loads = sum(value > 0 for lane in state for value in lane)
    
    for i in range(n_lanes):
        for j in range(n_slots):
            value = state[i][j]
            if value > 0:
                target_position = (value - 1) % n_slots
                score += abs(j - target_position)
    
    return  score
",0.91728,Premarshalling,False
pop_0_op_e1_n6_250815_114538,premarshalling_astar,results_20250815_092046_multibay_reshuffle_astar_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n6_250815_114538.json,e1,"The heuristic calculates the score based on the total Manhattan distance of all items to their target positions, considering both horizontal and vertical movements, to guide the A* search towards states with minimal movement required.
","def score_state(state):
    score = 0
    n_stacks = len(state)
    for i in range(n_stacks):
        stack = state[i]
        for j in range(len(stack)):
            if stack[j] != 0:
                correct_stack_index = stack[j] - 1
                target_position = sum(1 for s in state[correct_stack_index] if s > 0)
                vertical_distance = abs(i - correct_stack_index)
                horizontal_distance = target_position - j - 1
                score += vertical_distance + horizontal_distance
    return  score
",6.93576,Premarshalling,False
