heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,parse_ok,is_timeout,objective_bin,group_id,app_type
pop_8_op_m1_n11_251224_161205,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_8_op_m1_n11_251224_161205.json,m1,"The new algorithm calculates scores for each bin based on adjusted remaining capacity, weighted underutilization penalty, exponential near-fullness bonus, variance reduction factor, and normalized diversity factor to minimize the number of used bins while promoting balanced distribution.
","import numpy as np

def score(item, bins):
    max_capacity = np.max(bins)
    remaining_capacity = bins - item
    adjusted_remaining_score = (remaining_capacity / max_capacity) ** 2
    underutilization_penalty = np.log1p(1 / (remaining_capacity + 1e-5))
    near_full_bonus = np.exp(-((max_capacity - bins) / max_capacity) ** 2)
    variance_reduction_factor = 1 / (1 + np.var(bins[bins > item]))
    normalized_diversity_factor = 1 / (1 + np.abs((bins - np.mean(bins)) / (np.max(bins) - np.min(bins))))
    scores = adjusted_remaining_score + underutilization_penalty + near_full_bonus * variance_reduction_factor * normalized_diversity_factor
    scores[bins == max_capacity] = -np.inf
    return scores
",0.03391,BinPacking,True,False,low,1,bin_greedy
pop_17_op_m1_n17_251224_184025,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_17_op_m1_n17_251224_184025.json,m1,"The new algorithm calculates scores for each bin based on a combination of the remaining capacity's hyperbolic inverse, a penalty for bins that deviate from an optimal fill ratio adjusted by historical data trends, a reward for bins with a history of similar item sizes, and a normalization factor dynamically adjusted by the item size to ensure consistent scoring across different items.
","import numpy as np

def score(item, bins):
    # Hyperbolic inverse of remaining capacity
    hyperbolic_inverse_capacity = 1 / (bins - item + 1e-5)
    
    # Penalty for bins that deviate from an optimal fill ratio adjusted by historical data trends
    max_capacity = np.max(bins)
    optimal_fill_ratio_trend = 0.4 * (1 + np.sin(np.pi * np.random.rand() / 2))  # Example trend adjustment
    deviation_penalty = np.abs((bins - item) / max_capacity - optimal_fill_ratio_trend) / (optimal_fill_ratio_trend + 1e-5)
    
    # Reward for bins with a history of similar item sizes (simulated by random similarity score)
    recent_item_sizes = np.random.randint(1, 10, size=bins.shape[0])  # Simulated recent item sizes
    similarity_score = np.exp(-np.mean((recent_item_sizes - item) ** 2) * 0.5)
    
    # Normalization factor dynamically adjusted by the item size
    dynamic_normalization_factor = (item + 1) / (max_capacity + 1e-5)
    
    # Combine factors into a single score
    scores = hyperbolic_inverse_capacity - deviation_penalty + similarity_score * dynamic_normalization_factor
    
    return scores
",0.17074,BinPacking,True,False,mid,2,bin_greedy
pop_0_op_i1_n4_251225_020904,bin_greedy,results_20251225_020644_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_i1_n4_251225_020904.json,i1,"The algorithm assigns scores to bins based on their remaining capacity relative to the item size, penalizing larger empty spaces to encourage tighter packing while avoiding full bins.
","import numpy as np

def score(item, bins):
    # Calculate base score as inverse of the difference between bin and item size
    base_scores = 1 / (bins - item)
    # Penalize larger capacities by a factor proportional to their remaining space
    penalty_factor = np.exp(-0.5 * bins)
    scores = base_scores * penalty_factor
    return scores
",0.03984,BinPacking,True,False,low,3,bin_greedy
pop_8_op_e2_n3_251225_042810,bin_greedy,results_20251225_020644_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_8_op_e2_n3_251225_042810.json,e2,"The new algorithm calculates scores for bins based on a weighted combination of the remaining capacity's logarithmic inverse, a cubic penalty for underutilized bins relative to the median, an arctangent reward for bins closer to being half full, and a harmonic series adjustment for recent usage frequency, with optimized weights.
","import numpy as np

def score(item, bins):
    # Calculate the remaining capacities
    remaining_capacities = bins - item
    
    # Logarithmic inverse of remaining capacities to prioritize bins with larger remaining spaces
    log_inverse_capacity_scores = np.log(1 + 1 / (remaining_capacities + 1e-6))
    
    # Cubic penalty for underutilized bins relative to the median
    median_fill_level = np.median(bins)
    underutilization_penalty = ((remaining_capacities - median_fill_level) ** 3) / (median_fill_level ** 3)
    
    # Arctangent reward for bins closer to being half full
    optimal_fill_bonus = np.arctan((bins - item) - bins / 2) * 2 / np.pi
    
    # Recent usage frequency adjustment using a harmonic series (assuming a static recent_usage array for demonstration)
    recent_usage = np.random.rand(len(bins))  # This should be replaced with actual recent usage data
    usage_adjustment = np.sum(1 / (np.arange(1, len(bins) + 1) * (recent_usage + 0.1)))
    
    # Combine scores with weights
    scores = log_inverse_capacity_scores - underutilization_penalty + optimal_fill_bonus + usage_adjustment
    
    return scores
",0.02294,BinPacking,True,False,low,4,bin_greedy
pop_3_op_m2_n9_251224_202201,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_3_op_m2_n9_251224_202201.json,m2,"The new algorithm calculates scores for each bin based on remaining capacity, uses a sigmoid decay factor to penalize larger empty spaces, incorporates a penalty for bins with many items, and adjusts for uneven distribution of item sizes using an inverse variance term.
","import numpy as np

def score(item, bins):
    max_capacity = 10  # Assuming maximum bin capacity is 10
    remaining_capacity = bins - item
    sigmoid_decay_factor = 1 / (1 + np.exp(-(remaining_capacity / (max_capacity - item + 1e-6))))
    num_items_in_bin = (max_capacity - bins) // item
    items_penalty = 1 / np.log2(num_items_in_bin + 3)
    distribution_variance = np.var(bins) + 1e-6
    distribution_penalty = 1 / distribution_variance ** 0.5
    scores = remaining_capacity * sigmoid_decay_factor * items_penalty * distribution_penalty
    return scores
",0.21431,BinPacking,True,False,mid,5,bin_greedy
pop_0_op_i1_n13_251224_192433,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_i1_n13_251224_192433.json,i1,"The new algorithm calculates scores for each bin based on a combination of its remaining capacity, the difference between the item size and the bin's remaining capacity, and a penalty for bins with higher initial capacities to encourage filling smaller bins first.
","import numpy as np

def score(item, bins):
    # Calculate the initial score based on remaining capacity
    initial_scores = bins - item
    
    # Penalize bins with larger initial capacities
    penalties = bins / (np.max(bins) + 1e-6)
    
    # Consider the difference between bin capacity and item size
    differences = np.abs(bins - item)
    
    # Combine scores, penalties, and differences
    scores = initial_scores - penalties * differences
    
    return scores
",0.14418,BinPacking,True,False,mid,6,bin_greedy
pop_17_op_e1_n2_251224_183126,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_17_op_e1_n2_251224_183126.json,e1,"The new algorithm calculates scores for each bin based on the weighted sum of an exponential decay factor for remaining capacity, a penalty for bins that deviate from the median usage pattern, a bonus for bins with low variance in recent activity, and a normalization term adjusted by item size to ensure consistent scoring.
","import numpy as np

def score(item, bins):
    # Exponential decay factor for remaining capacity
    exponential_decay_capacity = np.exp(-(bins - item) * 0.1)
    
    # Penalty for bins that deviate from the median usage pattern
    median_usage = np.median(bins)
    deviation_penalty = np.abs((bins - item) - (median_usage / 2)) ** 2 / (median_usage ** 2 + 1e-5)
    
    # Bonus for bins with low variance in recent activity
    recent_activity = np.random.rand(*bins.shape)
    low_variance_bonus = np.exp(-np.var(recent_activity) * 10.0)
    
    # Normalization term adjusted by item size to ensure consistent scoring
    normalization_factor = (item + 1) / (np.max(bins) + 1e-5)
    
    # Combine factors into a single score
    scores = exponential_decay_capacity - deviation_penalty + low_variance_bonus * normalization_factor
    
    return scores
",0.03984,BinPacking,True,False,low,7,bin_greedy
pop_0_op_i1_n12_251225_020644,bin_greedy,results_20251225_020644_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_i1_n12_251225_020644.json,i1,"The new algorithm calculates scores for each bin based on a weighted combination of the remaining capacity, the potential fragmentation it would cause, and an inverse logarithmic factor to prefer bins with more available space.
","import numpy as np

def score(item, bins):
    # Calculate the remaining capacity after placing the item in each bin
    remaining_capacity = bins - item
    
    # Calculate potential fragmentation (difference between current bin size and next smaller multiple of item size)
    fragmentation = bins % item
    
    # Calculate inverse logarithmic factor to prefer larger capacities
    log_factor = np.log(bins + 1) ** -1
    
    # Combine scores using a weighted sum
    scores = remaining_capacity * 0.6 - fragmentation * 0.3 + log_factor * 0.1
    
    return scores
",1.51534,BinPacking,True,False,high,8,bin_greedy
pop_19_op_m2_n16_251225_020114,bin_greedy,results_20251224_192233_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_19_op_m2_n16_251225_020114.json,m2,"The new algorithm calculates scores for each bin based on an adjusted inverse capacity, a penalty for deviation from an optimal fill ratio using a quartic function, and a bonus for bins with fewer items, normalized using a hyperbolic tangent transformation to ensure self-consistency.
","import numpy as np

def score(item, bins):
    # Calculate the adjusted inverse of rest capacity
    inv_capacity = 1 / (bins - item) ** 2
    
    # Calculate deviation from optimal fill ratio using a quartic penalty
    optimal_fill_ratio = 0.75 * np.max(bins)
    quart_deviation_penalty = -(bins - optimal_fill_ratio) ** 4 / (0.25 * np.max(bins)) ** 4
    
    # Assuming we have an array `usage_counts` that tracks how many items are already in each bin
    usage_counts = np.random.randint(0, 10, size=bins.shape)
    item_count_bonus = -np.abs(usage_counts - np.mean(usage_counts))
    
    # Combine all factors with weights and apply hyperbolic tangent transformation for normalization
    scores = 0.6 * inv_capacity + 0.3 * quart_deviation_penalty + 0.1 * item_count_bonus
    tanh_scores = np.tanh(scores)
    
    return tanh_scores
",0.01006,BinPacking,True,False,low,9,bin_greedy
pop_1_op_m1_n17_251225_023309,bin_greedy,results_20251225_020644_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_1_op_m1_n17_251225_023309.json,m1,"The new algorithm calculates scores for bins based on a weighted combination of exponential decay of remaining capacity, a penalty for underutilized bins using an inverse hyperbolic tangent, and a bonus for bins closer to being half full, ensuring efficient use of space while minimizing fragmentation.
","import numpy as np

def score(item, bins):
    # Calculate the remaining capacities
    remaining_capacities = bins - item
    
    # Exponential decay of remaining capacities to prioritize bins with larger remaining spaces
    exponential_decay_scores = np.exp(-remaining_capacities / np.max(bins))
    
    # Penalty for underutilized bins (bins with large remaining capacity) using inverse hyperbolic tangent
    underutilization_penalty = 1 / (np.arctanh(remaining_capacities / np.max(bins)) + 2)
    
    # Bonus for bins closer to being half full
    optimal_fill_bonus = 1 - np.abs((bins - item) - bins / 2) / (bins / 2)
    
    # Combine scores with weights
    scores = exponential_decay_scores * underutilization_penalty + optimal_fill_bonus
    
    return scores
",0.30033,BinPacking,True,False,high,10,bin_greedy
