heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,parse_ok,is_timeout
pop_0_op_e1_n0_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n0_251004_190649.json,e1,"Design a heuristic that calculates the sum of Manhattan distances for each tile, but subtracts the number of tiles already in their correct row or column to encourage movement towards the goal.
","def score_state(state):
    N = len(state)
    manhattan_distance_sum = 0
    correctly_placed_in_row_or_col = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = (tile - 1) // N, (tile - 1) % N
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if i == target_i or j == target_j:
                    correctly_placed_in_row_or_col += 1

    return manhattan_distance_sum
",2.20381,SlidingPuzzle,True,False
pop_0_op_e1_n10_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n10_251004_190649.json,e1,"This heuristic calculates the sum of the number of misplaced tiles from their goal positions, adjusted by the average distance each misplaced tile needs to move vertically or horizontally to reach its correct row or column.
","def score_state(state):
    N = len(state)
    misplaced_tiles = 0
    vertical_adjustment = 0
    horizontal_adjustment = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                if target_i != i or target_j != j:
                    misplaced_tiles += 1
                    vertical_adjustment += abs(i - target_i)
                    horizontal_adjustment += abs(j - target_j)

    average_vertical_distance = vertical_adjustment / (misplaced_tiles + 1e-6)
    average_horizontal_distance = horizontal_adjustment / (misplaced_tiles + 1e-6)

    return misplaced_tiles
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n11_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n11_251004_190649.json,e1,"Use a heuristic that calculates the number of misplaced tiles, normalized by the total number of tiles minus one, to estimate the distance from the goal state.
","def score_state(state):
    N = len(state)
    misplaced_tiles = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = (value - 1) // N, (value - 1) % N
                if i != target_i or j != target_j:
                    misplaced_tiles += 1
    return misplaced_tiles
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n12_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n12_251004_190649.json,e1,"Use a custom heuristic that calculates the sum of Manhattan distances for each tile, adds the number of tiles out of their row or column, and subtracts the number of correct pairs of adjacent tiles relative to the goal state.}
","def score_state(state):
    N = len(state)
    target_positions = {(i + 1): (i // N, i % N) for i in range(1, N * N)}
    manhattan_distance_sum = 0
    out_of_place_count = 0
    correct_pairs = 0

    for i in range(N):
        for j in range(N):
            tile = state[i][j]
            if tile != 0:
                target_i, target_j = target_positions[tile]
                manhattan_distance_sum += abs(i - target_i) + abs(j - target_j)
                if (tile - 1) // N != i or (tile - 1) % N != j:
                    out_of_place_count += 1

    for i in range(N):
        prev_tile = None
        for j in range(N):
            tile = state[i][j]
            if tile != 0 and prev_tile is not None and (prev_tile - 1) // N == (tile - 1) // N:
                correct_pairs += 1
            prev_tile = tile

    for j in range(N):
        prev_tile = None
        for i in range(N):
            tile = state[i][j]
            if tile != 0 and prev_tile is not None and (prev_tile - 1) % N == (tile - 1) % N:
                correct_pairs += 1
            prev_tile = tile

    return manhattan_distance_sum
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n13_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n13_251004_190649.json,e1,"Calculate a heuristic score by summing the Euclidean distances of each tile from its goal position, adjusted by the number of misplaced tiles relative to their row and column targets.
","def score_state(state):
    N = len(state)
    score = 0
    misplaced_tiles_row = [0] * N
    misplaced_tiles_col = [0] * N

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                score += (abs(i - target_i) ** 2 + abs(j - target_j) ** 2) ** 0.5
                if i != target_i:
                    misplaced_tiles_row[i] += 1
                if j != target_j:
                    misplaced_tiles_col[j] += 1

    return score
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n14_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n14_251004_190649.json,e1,"Design a heuristic that calculates the sum of the Manhattan distances of each tile from its goal position, but penalizes states with more tiles out of their row or column by adding an additional penalty for each such occurrence.
","def score_state(state):
    N = len(state)
    manhattan_distance = 0
    row_penalty = 0
    col_penalty = 0

    for i in range(N):
        row_seen = set()
        col_seen = set()
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance += abs(i - target_i) + abs(j - target_j)

                if (value - 1) // N != i:
                    row_penalty += 1
                if (value - 1) % N != j:
                    col_penalty += 1

    return manhattan_distance
",2.20381,SlidingPuzzle,True,False
pop_0_op_e1_n15_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n15_251004_190649.json,e1,"Calculate the sum of Euclidean distances for each tile from its current position to its target position, ignoring the empty space.
","def score_state(state):
    N = len(state)
    score = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                score += ((i - target_i) ** 2 + (j - target_j) ** 2) ** 0.5
    return score
",2.5337,SlidingPuzzle,True,False
pop_0_op_e1_n16_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n16_251004_190649.json,e1,"Calculate the sum of Euclidean distances for each tile from its current position to its target position in the goal state.
","def score_state(state):
    N = len(state)
    score = 0
    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i = (value - 1) // N
                target_j = (value - 1) % N
                score += ((i - target_i) ** 2 + (j - target_j) ** 2) ** 0.5
    return score
",2.37694,SlidingPuzzle,True,False
pop_0_op_e1_n17_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n17_251004_190649.json,e1,"Design a heuristic that calculates the sum of the Manhattan distances of each tile from its goal position, but also subtracts the number of tiles that are already in their correct row or column, to encourage moving more misplaced tiles into place.
","def score_state(state):
    N = len(state)
    score = 0
    correctly_placed_in_row = [0] * N
    correctly_placed_in_col = [0] * N

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                score += abs(i - target_i) + abs(j - target_j)
                if i == target_i:
                    correctly_placed_in_row[i] += 1
                if j == target_j:
                    correctly_placed_in_col[j] += 1

    return score
",2.20381,SlidingPuzzle,True,False
pop_0_op_e1_n18_251004_190649,puzzle_astar,results_20251004_181749_puzzle_astar_edu_qwen25coder32b_ueTrue_uiFalse_uitypeNone,program_pop_0_op_e1_n18_251004_190649.json,e1,"Use a heuristic that calculates the sum of the Manhattan distances for each tile from its current position to its goal position, divided by 2, and add the number of misplaced tiles compared to their goal positions.
","def score_state(state):
    N = len(state)
    manhattan_distance = 0
    misplaced_tiles = 0

    for i in range(N):
        for j in range(N):
            value = state[i][j]
            if value != 0:
                target_i, target_j = divmod(value - 1, N)
                manhattan_distance += abs(i - target_i) + abs(j - target_j)
                if (i, j) != (target_i, target_j):
                    misplaced_tiles += 1

    return (manhattan_distance / 2) + misplaced_tiles
",2.5337,SlidingPuzzle,True,False
