heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,is_timeout
pop_0_op_e1_n0_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n0_251224_134701.json,e1,"The new algorithm assigns scores based on a combination of remaining capacity, a penalty for larger initial capacities, and an adaptive adjustment factor that considers the distribution of items across bins to promote even usage.
","import numpy as np

def score(item, bins):
    # Calculate the base score as remaining capacity
    base_scores = bins - item
    
    # Penalize larger initial capacities more heavily
    penalty_factor = 0.2 * np.log(bins + 1)
    
    # Adaptive adjustment factor based on the distribution of items across bins
    avg_bin_capacity = np.mean(bins)
    distribution_penalty = (bins / avg_bin_capacity) ** 1.5
    
    # Combine scores with penalties and adjustments
    scores = base_scores - penalty_factor * distribution_penalty
    
    return scores
",1.51534,BinPacking,False
pop_0_op_e1_n10_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n10_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a combination of remaining capacity, an exponential decay factor for larger bins, and a penalty for bins with high entropy of item sizes to promote balanced distribution while minimizing fragmentation.
","import numpy as np

def score(item, bins):
    # Calculate the base score as a decreasing function of remaining capacity
    base_scores = 1 / (bins - item + 1)
    
    # Exponential decay factor for larger bins
    size_decay = np.exp(-0.1 * bins)
    
    # Placeholder for actual entropy calculation based on historical item sizes
    # Here we use a simulated entropy value
    entropy_penalty = np.random.rand(len(bins)) * 0.5
    
    # Calculate the final score for each bin
    scores = base_scores * size_decay - entropy_penalty
    
    return scores
",0.3277,BinPacking,False
pop_0_op_e1_n11_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n11_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a combination of the remaining capacity, the harmonic mean of the remaining capacity and item size, and an adaptive penalty that increases with the number of items already in the bin to minimize fragmentation and maximize space utilization.
","import numpy as np

def score(item, bins):
    # Calculate the remaining capacity
    remaining_capacity = bins - item
    
    # Calculate harmonic mean of remaining capacity and item size
    harmonic_mean = 2 * (remaining_capacity * item) / (remaining_capacity + item)
    
    # Estimate number of items already in each bin assuming average item size
    avg_item_size = 10  # Assuming an average item size for calculation purposes
    num_items_in_bin = (bins.max() - bins) // avg_item_size
    
    # Calculate adaptive penalty based on the number of items already in the bin
    adaptive_penalty = np.log2(num_items_in_bin + 1)
    
    # Combine scores: prioritize higher harmonic mean and penalize bins with more items
    scores = harmonic_mean - adaptive_penalty
    
    return scores
",1.51534,BinPacking,False
pop_0_op_e1_n12_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n12_251224_134701.json,e1,"The new algorithm calculates scores by integrating the remaining capacity with a sigmoidal function of bin occupancy and a penalty for bins that are nearly full, aiming to balance between filling smaller bins and avoiding overfilling.
","import numpy as np

def score(item, bins):
    # Calculate remaining capacity after placing the item in each bin
    remaining_capacity = bins - item
    
    # Sigmoidal function of bin occupancy to penalize nearly full bins
    occupancy_penalty = 1 / (1 + np.exp(-0.5 * (bins - item)))
    
    # Base score based on remaining capacity
    base_scores = remaining_capacity
    
    # Final score considering occupancy penalty
    scores = base_scores * (1 - occupancy_penalty)
    
    return scores
",0.05815,BinPacking,False
pop_0_op_e1_n13_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n13_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a sigmoidal transformation of remaining capacity, adjusted by a penalty for bins with higher initial capacities to promote filling nearly full bins without overfilling.
","import numpy as np

def score(item, bins):
    # Sigmoidal transformation of remaining capacity
    remaining_capacity = bins - item
    sigmoid_remaining = 1 / (1 + np.exp(-remaining_capacity))
    
    # Penalty for higher initial capacities
    penalty = np.log(bins + 1)
    
    # Combine the transformed remaining capacity and penalty
    scores = sigmoid_remaining - penalty
    
    return scores
",0.05755,BinPacking,False
pop_0_op_e1_n14_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n14_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a combination of remaining capacity, a penalty for underutilization, a bonus for near-capacity bins, and an entropy measure to promote diversity in bin usage.
","import numpy as np

def score(item, bins):
    max_capacity = np.max(bins)
    min_remaining = np.min(bins[bins > item])
    
    # Calculate remaining capacity after placing the item
    remaining_capacity = bins - item
    
    # Penalty for underutilization (smaller values are better)
    underutilization_penalty = (max_capacity - bins) / max_capacity
    
    # Bonus for near-capacity bins (larger values are better)
    near_full_bonus = 1 / ((bins - item + 1e-6) ** 2)
    
    # Entropy measure to promote diversity in bin usage
    entropy_measure = np.sin((bins / max_capacity) * np.pi)  # Sinusoidal function to introduce variability
    
    # Combine all components with weights
    scores = (0.4 * remaining_capacity +
              -0.3 * underutilization_penalty +
              0.2 * near_full_bonus +
              0.1 * entropy_measure)
    
    scores[bins == max_capacity] = -np.inf
    
    return scores
",0.03874,BinPacking,False
pop_0_op_e1_n15_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n15_251224_134701.json,e1,"The new algorithm assigns scores based on a dynamic adjustment of remaining capacity, penalizing bins with high variance from the average remaining capacity and rewarding those that are closer to being full but not yet maxed out.
","import numpy as np

def score(item, bins):
    # Calculate remaining capacity after placing the item
    remaining_capacity = bins - item
    
    # Calculate the mean of the remaining capacities
    mean_remaining_capacity = np.mean(remaining_capacity)
    
    # Calculate variance from the mean for each bin's remaining capacity
    variance_from_mean = (mean_remaining_capacity - remaining_capacity) ** 2
    
    # Reward bins that are closer to being full but not yet maxed out
    proximity_to_full_reward = 1 / (remaining_capacity + 1e-6)
    
    # Penalize bins with higher variance from the mean capacity
    penalty_variance = np.exp(variance_from_mean)
    
    # Combine scores using a weighted sum
    weights = [0.5, 0.3, 0.2]
    scores = (weights[0] * remaining_capacity +
              weights[1] * proximity_to_full_reward -
              weights[2] * penalty_variance)
    
    return scores
",0.60539,BinPacking,False
pop_0_op_e1_n16_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n16_251224_134701.json,e1,"The novel score function calculates scores for each bin based on a sigmoid transformation of remaining capacity adjusted by a penalty factor that increases with the current number of items in the bin, aiming to balance filling nearly full bins while avoiding overloading any single bin.
","import numpy as np

def score(item, bins):
    # Calculate the potential remaining capacity after placing the item
    remaining_capacity = bins - item
    
    # Sigmoid transformation of remaining capacity
    sigmoid_remaining = 1 / (1 + np.exp(-remaining_capacity))
    
    # Estimate number of items in each bin based on remaining capacity
    estimated_items = bins - remaining_capacity
    
    # Penalty factor increases with the current number of items
    penalty_factor = 0.2 * np.log(estimated_items + 1)
    
    # Calculate final scores
    scores = sigmoid_remaining - penalty_factor
    
    return scores
",0.76567,BinPacking,False
pop_0_op_e1_n17_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n17_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a combination of the remaining capacity, a penalty for bins with significant historical overutilization, and a bonus for bins that have shown high variability in usage to promote better distribution.
","import numpy as np

def score(item, bins):
    max_capacity = np.max(bins)
    remaining_capacity = max_capacity - bins
    normalized_remaining_capacity = remaining_capacity / max_capacity
    
    # Placeholder for historical overutilization data (e.g., how often a bin was close to full in the past)
    historical_overutilization = np.random.rand(len(bins))  # Replace with actual data if available
    
    # Calculate variability in usage
    usage_variability = np.std(bins) / max_capacity
    
    # Score components
    remaining_capacity_score = normalized_remaining_capacity
    overutilization_penalty = -historical_overutilization * 0.5
    variability_bonus = usage_variability * 0.2
    
    scores = remaining_capacity_score + overutilization_penalty + variability_bonus
    
    # Avoid using bins that are already at max capacity
    scores[bins == max_capacity] = -np.inf
    
    return scores
",0.04628,BinPacking,False
pop_0_op_e1_n18_251224_134701,bin_greedy,results_20251224_134317_bp_online_qwen25coder32b_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n18_251224_134701.json,e1,"The new algorithm calculates scores for each bin based on a sigmoidal transformation of remaining capacity, combined with a penalty that decreases exponentially as bins approach their maximum capacity to encourage filling nearly full bins while avoiding overfilling.
","import numpy as np

def score(item, bins):
    # Sigmoidal transformation of remaining capacity
    sigmoid_capacity = 1 / (1 + np.exp(-(bins - item)))
    # Exponential penalty for being close to maximum capacity
    max_capacity = np.max(bins)
    exp_penalty = np.exp(-((bins - item) / max_capacity))
    # Combine scores with the penalty
    scores = sigmoid_capacity * (1 - exp_penalty)
    return scores
",1.51534,BinPacking,False
