heuristic_id,raw_app_type,instance_scale,filename,strategy,algorithm,code,objective,task_name,is_timeout
pop_0_op_e1_n0_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n0_251225_153652.json,e1,"Design a totally different LNS destroy scoring: compute a global footprint score for each non-depot node based on its total distance to all nodes, its own demand relative to the max demand, and how loaded its current route is, combine these with small jitter, and remove a fixed fraction of highest-scoring nodes.}
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data['distance_matrix']
    demands = data['demands']
    routes = current_solution

    # Map each non-depot node to its route and position, and compute route loads
    node_positions = {}
    route_loads = []
    for r_idx, route in enumerate(routes):
        load = 0
        for pos, node in enumerate(route):
            if node == 0:
                continue
            node_positions[node] = (r_idx, pos)
            load += demands[node]
        route_loads.append(load)

    candidate_nodes = list(node_positions.keys())
    if not candidate_nodes:
        return [], 0

    # Pre-compute max values for normalization
    max_demand = max(demands[n] for n in candidate_nodes) if candidate_nodes else 1
    if max_demand <= 0:
        max_demand = 1

    # Distance footprint for each candidate node
    distance_sums = {}
    max_distance_sum = 0
    for n in candidate_nodes:
        row = distance_matrix[n]
        s = 0
        for j in range(len(distance_matrix)):
            s += row[j]
        distance_sums[n] = s
        if s > max_distance_sum:
            max_distance_sum = s
    if max_distance_sum <= 0:
        max_distance_sum = 1

    # Max route load for normalization
    max_route_load = max(route_loads) if route_loads else 1
    if max_route_load <= 0:
        max_route_load = 1

    # Weights for the three components
    w_distance = 0.5
    w_demand = 0.3
    w_route_load = 0.2

    scores = []
    jitter_scale = 0.01
    for n in candidate_nodes:
        r_idx, _ = node_positions[n]
        distance_term = 0.0
        if max_distance_sum > 0:
            distance_term = distance_sums[n] / max_distance_sum

        demand_term = 0.0
        if max_demand > 0:
            demand_term = demands[n] / max_demand

        route_load_term = 0.0
        if max_route_load > 0:
            route_load_term = route_loads[r_idx] / max_route_load

        score = distance_term * w_distance + demand_term * w_demand + route_load_term * w_route_load
        score += rng.random() * jitter_scale

        scores.append((n, score))

    # Number to remove: 25% of candidates, at least 1
    n_nodes = len(candidate_nodes)
    k = max(1, int(round(0.25 * n_nodes))) if n_nodes > 0 else 0

    return scores, k
",3978416.0,CVRP,False
pop_0_op_e1_n11_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n11_251225_153652.json,e1,"Divide each route into a local center (the node with minimal sum of distances to other customers in the same route) and score each non-depot node by its distance to that center normalized by its demand; add a small random perturbation, then remove the top-k nodes where k is a small random fraction of all non-depot nodes.
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data['distance_matrix']
    demands = data.get('demands', [])

    centers = []
    non_depot_total = 0

    # Compute a center for each route: the non-depot node with minimum sum of distances to other non-depot nodes
    for route in current_solution:
        non_dep = [n for n in route if n != 0]
        non_depot_total += len(non_dep)
        if not non_dep:
            centers.append(0)
            continue

        best_center = None
        best_sum = None
        for n in non_dep:
            s = 0
            for m in non_dep:
                if m == n:
                    continue
                s += distance_matrix[n][m] if (n < len(distance_matrix) and m < len(distance_matrix[n])) else 0
            if best_sum is None or s < best_sum:
                best_sum = s
                best_center = n
        centers.append(best_center if best_center is not None else 0)

    scores = []
    route_idx = 0
    for route in current_solution:
        center = centers[route_idx]
        route_idx += 1
        if not route:
            continue
        for node in route:
            if node == 0:
                continue
            dist_to_center = distance_matrix[node][center] if (node < len(distance_matrix) and center < len(distance_matrix[node])) else 0
            demand = demands[node] if node < len(demands) else 0
            score = dist_to_center / (1.0 + demand)
            score += rng.random() * 0.01 * (dist_to_center + 1e-9)
            scores.append((node, score))

    if non_depot_total == 0:
        k = 0
    else:
        frac = 0.18 + rng.random() * 0.12  # between 0.18 and 0.30
        k = max(1, int(round(non_depot_total * frac)))
        if k > non_depot_total:
            k = non_depot_total

    return scores, k
",3613762.5,CVRP,False
pop_0_op_e1_n12_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n12_251225_153652.json,e1,"A cross-route diversity-removal heuristic that scores each node by the difference between its cross-route distances (to all nodes outside its current route) and its intra-route distances, adjusted by demand and a small random jitter, then removes a fraction of the highest-scoring nodes.}
","def destroy_scoring(current_solution, data, rng):
    dist = data['distance_matrix']
    demands = data.get('demands', [])

    # Build mappings: node -> route index, and collect all non-depot nodes
    node_to_route = {}
    all_nodes = set()
    for r_idx, route in enumerate(current_solution):
        for node in route:
            if node == 0:
                continue
            node_to_route[node] = r_idx
            all_nodes.add(node)

    # Precompute route-wise node lists (excluding depots)
    route_to_nodes = {}
    for r_idx, route in enumerate(current_solution):
        nodes = [n for n in route if n != 0]
        route_to_nodes[r_idx] = nodes

    scores = []
    all_nodes_list = list(all_nodes)

    for node in all_nodes_list:
        r = node_to_route[node]
        intra_nodes = route_to_nodes[r]
        # intra-route distance: sum to other nodes in the same route
        dist_within = 0.0
        for other in intra_nodes:
            if other == node:
                continue
            dist_within += dist[node][other]

        # cross-route distance: sum to all nodes not in the same route
        dist_cross = 0.0
        for other in all_nodes_list:
            if other == node:
                continue
            if node_to_route.get(other, None) != r:
                dist_cross += dist[node][other]

        demand_node = demands[node] if node < len(demands) else 0
        # score favors larger cross-distance and penalizes high demand slightly
        score = dist_cross - dist_within - 0.01 * demand_node
        # small random jitter to diversify tie outcomes
        score += rng.random() * 0.05 * (dist_cross + 1e-9)

        scores.append((node, score))

    # Determine number of nodes to remove (fractional and at least 1 if any nodes exist)
    total_nodes = len(all_nodes)
    if total_nodes <= 0:
        k = 0
    else:
        frs = [0.20, 0.25, 0.30]
        fr = frs[rng.integers(0, len(frs))]
        k = int(round(total_nodes * fr))
        if k < 1:
            k = 1
        if k > total_nodes:
            k = total_nodes

    return scores, k
",3956702.6,CVRP,False
pop_0_op_e1_n13_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n13_251225_153652.json,e1,"Compute a peripherality-based destruction score by measuring, for each non-depot node, the average distance to all other non-depot nodes in its current route (higher means more peripheral) plus a small random perturbation to diversify choices, and then remove the top-k most peripheral nodes.
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data.get('distance_matrix', [])
    scores = []
    for route in current_solution:
        if not route:
            continue
        for node in route:
            if node == 0:
                continue  # skip depot
            # compute average distance to other non-depot nodes in the same route
            sum_dist = 0.0
            count = 0
            for other in route:
                if other == 0 or other == node:
                    continue
                sum_dist += distance_matrix[node][other]
                count += 1
            avg_dist = (sum_dist / count) if count > 0 else 0.0
            score = avg_dist
            score += rng.random() * 0.1  # small random perturbation for diversity
            scores.append((node, score))

    N = len(scores)
    if N == 0:
        return [], 0

    k = max(1, int(round(N * 0.25)))
    if k > N:
        k = N

    return scores, k
",3931543.7,CVRP,False
pop_0_op_e1_n14_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n14_251225_153652.json,e1,"A diversification-based, multi-criteria removal scoring that combines local removal potential, node position within routes, and demand scarcity with random weights to rank nodes and determine how many to remove.
","def destroy_scoring(current_solution, data, rng):
    dist = data['distance_matrix']
    demands = data.get('demands', [])
    depot = data.get('depot', 0)

    scores = []
    total_candidates = 0

    max_demand = max(demands) if demands else 1

    for route in current_solution:
        if not route:
            continue
        m = len(route)
        for idx, node in enumerate(route):
            if node == depot or node is None:
                continue
            total_candidates += 1

            prev = route[idx - 1] if idx > 0 else depot
            nxt = route[idx + 1] if idx < m - 1 else depot

            # Local removal potential (distance-based)
            delta = dist[prev][node] + dist[node][nxt] - dist[prev][nxt]
            if delta < 0:
                delta = 0.0

            # Node position signal: interior nodes assumed more impactful than endpoints
            interior = 1.0 if (idx > 0 and idx < m - 1) else 0.5

            # Demand scarcity signal: prefer removing nodes with lower demand
            demand = demands[node] if node < len(demands) else 0
            scarcity = 1.0 - (demand / max_demand) if max_demand > 0 else 1.0

            # Randomized weighting to diversify across runs
            w1 = rng.random()
            w2 = rng.random()
            w3 = rng.random()

            # Nonlinear combination to create a distinct scoring surface
            score = (delta ** 1.15) * interior * 0.7
            score += scarcity * 0.3
            score = score * (1.0 + w1 * 0.2)
            score += w2 * 0.05
            score += w3 * 0.01

            scores.append((node, score))

    N = len(scores)
    if N == 0:
        k = 0
    else:
        fr = 0.15 + rng.random() * 0.15  # random fraction between 0.15 and 0.30
        k = int(round(N * fr))
        if k < 1:
            k = 1
        if k > N:
            k = N

    return scores, k
",3729150.0,CVRP,False
pop_0_op_e1_n15_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n15_251225_153652.json,e1,"Compute a dispersion-aware removal score: for each non-depot node, compute the local distance-savings delta of removing the node from its route and add a dispersion term equal to the sum of distances from that node to all other non-depot nodes in the same route (favoring peripheral nodes), include a tiny random perturbation for tie-breaking, and remove the top-k nodes with highest scores in the LNS step.
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data.get('distance_matrix', [])
    # demands = data.get('demands', [])  # not used in this variant
    scores = []
    seen = set()
    total_nodes = 0

    for route in current_solution:
        if not route:
            continue
        for idx, node in enumerate(route):
            if node == 0:
                continue  # skip depot
            if node in seen:
                continue
            seen.add(node)
            total_nodes += 1

            # Determine neighbors (use depot 0 when at an end)
            prev_node = route[idx - 1] if idx > 0 else 0
            next_node = route[idx + 1] if idx < len(route) - 1 else 0

            # Guard against out-of-bounds
            if (prev_node >= len(distance_matrix) or node >= len(distance_matrix) or
                next_node >= len(distance_matrix)):
                savings = 0.0
            else:
                savings = (distance_matrix[prev_node][node] +
                           distance_matrix[node][next_node] -
                           distance_matrix[prev_node][next_node])

            # Dispersion term: sum distance from this node to other non-depot nodes in the same route
            sum_dist = 0.0
            for other in route:
                if other == 0 or other == node:
                    continue
                if node < len(distance_matrix) and other < len(distance_matrix):
                    sum_dist += distance_matrix[node][other]

            # Combine: local savings plus dispersion, with a tiny random perturbation
            score = savings + 0.5 * sum_dist
            if hasattr(rng, 'random'):
                score += 1e-6 * rng.random()

            scores.append((node, score))

    if total_nodes == 0:
        k = 0
    else:
        k = max(1, int(round(total_nodes * 0.2)))
        if k > total_nodes:
            k = total_nodes

    scores.sort(key=lambda x: x[1], reverse=True)
    return scores, k
",3881614.9,CVRP,False
pop_0_op_e1_n17_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n17_251225_153652.json,e1,"A novel multi-attribute, randomized node scoring for LNS that computes each non-depot node's score from a randomized projection of (i) the local edge context around the node, (ii) the node's global distance diversity to all nodes, and (iii) the node's demand deviation from the average, then removes the top-k scored nodes.}
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data['distance_matrix']
    demands = data.get('demands', [])
    
    # Collect all non-depot candidate nodes and their positions
    candidate_nodes = set()
    node_positions = {}
    for r_idx, route in enumerate(current_solution):
        for pos, node in enumerate(route):
            if node == 0:
                continue
            candidate_nodes.add(node)
            node_positions[node] = (r_idx, pos)

    scores = []
    if not candidate_nodes:
        return scores, 0

    # Precompute average demand (across defined demands)
    n_nodes_all = len(distance_matrix)
    total_demand = 0.0
    count_demand = 0
    for i in range(n_nodes_all):
        if i < len(demands):
            total_demand += demands[i]
            count_demand += 1
    avg_demand = total_demand / count_demand if count_demand > 0 else 0.0

    # Precompute global centrality for candidate nodes: sum of distances to all other nodes
    centrality_cache = {}
    for v in candidate_nodes:
        row = distance_matrix[v]
        s = 0.0
        for u in range(n_nodes_all):
            if u == v:
                continue
            s += row[u]
        centrality_cache[v] = s

    # Compute score for each candidate node
    for v in candidate_nodes:
        r_idx, pos = node_positions[v]
        route = current_solution[r_idx]
        m = len(route)

        # Determine neighbors a and b (using depot 0 when needed)
        if m == 1:
            a, b = 0, 0
        elif pos == 0:
            a = 0
            b = route[1] if m > 1 else 0
        elif pos == m - 1:
            a = route[m - 2]
            b = 0
        else:
            a = route[pos - 1]
            b = route[pos + 1]

        edge_around = distance_matrix[a][v] + distance_matrix[v][b]
        centrality = centrality_cache[v]
        demand_v = demands[v] if v < len(demands) else 0
        demand_balance = demand_v - avg_demand

        # Random weights for a randomized projection
        w0 = rng.random()
        w1 = rng.random()
        w2 = rng.random()
        s = w0 + w1 + w2
        if s > 0:
            w0 /= s
            w1 /= s
            w2 /= s

        score = w0 * edge_around + w1 * centrality + w2 * demand_balance
        scores.append((v, score))

    # Determine k as 25% of candidate nodes with small jitter
    n_total = len(candidate_nodes)
    base = max(1, int(round(n_total * 0.25)))
    jitter = int(round((rng.random() - 0.5) * max(1, n_total * 0.25)))
    k = max(1, min(n_total, base + jitter))

    return scores, k
",3787975.7,CVRP,False
pop_0_op_e1_n18_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n18_251225_153652.json,e1,"Global-influence sampling-based destruction scoring: for every non-depot node, compute a score that combines its average distance to a random sample of other nodes, its demand, whether it is an endpoint in its route, and a small random perturbation; then remove the top-k highest-scoring nodes, with k chosen as a small random fraction of total non-depot nodes.
","def destroy_scoring(current_solution, data, rng):
    distances = data['distance_matrix']
    demands = data.get('demands', [])
    
    # Collect unique non-depot nodes present in the solution
    all_nodes = []
    seen = set()
    for route in current_solution:
        for n in route:
            if n == 0:
                continue
            if n not in seen:
                seen.add(n)
                all_nodes.append(n)
    total = len(all_nodes)
    
    if total == 0:
        return [], 0

    # Determine endpoints across routes
    endpoint_nodes = set()
    for route in current_solution:
        if not route:
            continue
        endpoint_nodes.add(route[0])
        endpoint_nodes.add(route[-1])

    # Prepare a small random sample of nodes to compute distances against
    sample_size = min(12, total)
    if total <= sample_size:
        sample_nodes = all_nodes[:]
    else:
        sample_nodes = []
        for _ in range(sample_size):
            idx = int(rng.integers(0, total))
            sample_nodes.append(all_nodes[idx])

    # Compute scores for each node
    scores = []
    for node in all_nodes:
        # average distance to sample nodes
        dist_sum = 0.0
        for v in sample_nodes:
            dist_sum += distances[node][v]
        avg_dist = dist_sum / sample_size if sample_size > 0 else 0.0

        # demand term
        demand = demands[node] if node < len(demands) else 0

        # endpoint bonus
        end_bonus = 1.0 if node in endpoint_nodes else 0.0

        # final score with a small random perturbation
        score = 0.7 * avg_dist + 0.3 * demand + 0.4 * end_bonus + 0.1 * rng.random()
        scores.append((node, score))

    # Determine k: a small random fraction of total non-depot nodes
    fractions = [0.12, 0.15, 0.18, 0.22, 0.28]
    fr = fractions[int(rng.integers(0, len(fractions)))]
    k = max(1, int(round(total * fr)))
    if k > total:
        k = total

    return scores, k
",3908500.7,CVRP,False
pop_0_op_e1_n19_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n19_251225_153652.json,e1,"A totally different heuristic: for each non-depot node, measure how far it lies from its route's demand-weighted centroid (i.e., an outlier within its route) and score nodes by distance_to_centroid scaled by their demand, then add a small random perturbation and remove the top-k outliers across all routes.
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data['distance_matrix']
    demands = data['demands']

    # determine max demand for normalization
    if isinstance(demands, dict):
        max_demand = max(demands.values()) if demands else 1
    else:
        max_demand = max(demands) if isinstance(demands, (list, tuple)) and len(demands) > 0 else 1

    scores = []

    for route in current_solution:
        if not route:
            continue
        # collect non-depot nodes in this route
        nodes = [n for n in route if n != 0]
        if not nodes:
            continue

        # find route centroid: minimize sum(distance(c, o) * weight(o)) over c in nodes
        best_centroid = nodes[0]
        best_cost = float('inf')
        for c in nodes:
            cost = 0.0
            for o in nodes:
                if o == c:
                    continue
                if isinstance(demands, dict):
                    w = demands.get(o, 0)
                else:
                    if isinstance(demands, (list, tuple)) and 0 <= o < len(demands):
                        w = demands[o]
                    else:
                        w = 0
                cost += distance_matrix[c][o] * w
            if cost < best_cost:
                best_cost = cost
                best_centroid = c

        centroid = best_centroid

        # score each node by its distance to centroid, weighted by demand
        for node in nodes:
            dist_to_centroid = distance_matrix[node][centroid]
            if isinstance(demands, dict):
                demand = demands.get(node, 0)
            else:
                if isinstance(demands, (list, tuple)) and 0 <= node < len(demands):
                    demand = demands[node]
                else:
                    demand = 0
            norm = demand / max_demand if max_demand > 0 else 0.0
            score = dist_to_centroid * (1.0 + 0.5 * norm)
            if hasattr(rng, 'random'):
                score += 0.01 * rng.random()
            scores.append((node, score))

    total_nodes = len(scores)
    if total_nodes == 0:
        return [], 0

    scores.sort(key=lambda x: x[1], reverse=True)

    base_k = max(1, int(round(total_nodes * 0.2)))
    jitter = int(round((rng.random() - 0.5) * max(1, int(total_nodes * 0.2))))
    k = base_k + jitter
    if k < 1:
        k = 1
    if k > total_nodes:
        k = total_nodes

    return scores, k
",3812445.2,CVRP,False
pop_0_op_e1_n1_251225_153652,cvrp_lns,results_20251225_141130_lns_cvrp_gpt5nano20250807_ueFalse_uiFalse_uitypeNone,program_pop_0_op_e1_n1_251225_153652.json,e1,"A diversity-based destruction heuristic that scores each non-depot node by its global distance dispersion: the node’s mean distance to all other nodes minus the mean distance to its route neighbors, weighted by demand and with a small random perturbation for diversification.
","def destroy_scoring(current_solution, data, rng):
    distance_matrix = data['distance_matrix']
    demands = data['demands']
    max_demand = max(demands) if demands else 1

    # Collect all candidate nodes (non-depot) to determine k
    candidate_nodes = []
    for route in current_solution:
        for n in route:
            if n != 0:
                candidate_nodes.append(n)
    n_nodes = len(candidate_nodes)

    scores = []
    for route in current_solution:
        for idx, node in enumerate(route):
            if node == 0:
                continue

            # Global mean distance from this node to all other nodes
            row_len = len(distance_matrix[node])
            sum_all = 0.0
            count = 0
            for j in range(row_len):
                if j == node:
                    continue
                sum_all += distance_matrix[node][j]
                count += 1
            d_to_all = sum_all / count if count > 0 else 0.0

            # Distances to neighbors in the route
            prev_node = route[idx - 1] if idx > 0 else 0
            next_node = route[idx + 1] if idx < len(route) - 1 else 0

            dist_to_prev = distance_matrix[node][prev_node]
            dist_to_next = distance_matrix[node][next_node]
            avg_to_neighbors = (dist_to_prev + dist_to_next) / 2.0

            diversity = d_to_all - avg_to_neighbors
            if diversity < 0:
                diversity = 0.0

            demand = demands[node] if node < len(demands) else 0
            score = diversity * 1.0 + (demand / max_demand) * 0.4
            score += rng.random() * 0.01  # small random perturbation

            scores.append((node, score))

    # Determine k: a random fraction of candidate nodes (between 15% and 30%), at least 1 if nodes exist
    if n_nodes <= 0:
        k = 0
    else:
        base_fraction = 0.15 + rng.random() * 0.15
        k = int(round(n_nodes * base_fraction))
        if k < 1:
            k = 1
        if k > n_nodes:
            k = n_nodes

    return scores, k
",3981765.6,CVRP,False
